epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding,k_value
0,7,5.0697550773620605,0.0,159.13534545898438,0.0007,3.5512619018554688,0.0,34.857276916503906,transformer,embedding,2
1,14,3.178694725036621,0.0,24.0153865814209,0.001,2.7785844802856445,0.0,16.096220016479492,transformer,embedding,2
2,21,2.6410880088806152,0.0,14.028458595275879,0.001,2.4658308029174805,0.5722694396972656,11.773259162902832,transformer,embedding,2
3,28,2.415741205215454,1.2146978378295898,11.198067665100098,0.001,2.3788862228393555,0.915631115436554,10.792875289916992,transformer,embedding,2
4,35,2.3550734519958496,1.3361676931381226,10.53890323638916,0.001,2.346531629562378,0.8829299807548523,10.449264526367188,transformer,embedding,2
5,42,2.3286070823669434,1.032493233680725,10.263635635375977,0.001,2.330559015274048,0.7684760689735413,10.28368854522705,transformer,embedding,2
6,49,2.315824270248413,1.0932281017303467,10.133272171020508,0.001,2.320305824279785,1.0137344598770142,10.178786277770996,transformer,embedding,2
7,56,2.308480739593506,1.1843304634094238,10.059130668640137,0.001,2.3153703212738037,0.8992805480957031,10.12867259979248,transformer,embedding,2
8,63,2.3026535511016846,1.3969025611877441,10.00068473815918,0.001,2.3118064403533936,0.93198162317276,10.092639923095703,transformer,embedding,2
9,70,2.301229476928711,1.1843303442001343,9.98645305633545,0.001,2.310659646987915,0.93198162317276,10.081072807312012,transformer,embedding,2
10,77,2.2982873916625977,1.0021257400512695,9.957115173339844,0.001,2.3107481002807617,0.7848266363143921,10.081964492797852,transformer,embedding,2
11,84,2.2949891090393066,1.3969025611877441,9.924327850341797,0.001,2.309523105621338,0.6376716494560242,10.069621086120605,transformer,embedding,2
12,91,2.2923262119293213,1.5791071653366089,9.89793586730957,0.001,2.310481309890747,0.915631115436554,10.079275131225586,transformer,embedding,2
13,98,2.288127899169922,1.6398420333862305,9.856468200683594,0.001,2.3112926483154297,0.6867232918739319,10.087455749511719,transformer,embedding,2
14,105,2.282404661178589,2.3990283012390137,9.80021858215332,0.001,2.312091827392578,0.6867232918739319,10.095520973205566,transformer,embedding,2
15,112,2.276195526123047,2.4293956756591797,9.739556312561035,0.001,2.3198254108428955,0.7521255612373352,10.173897743225098,transformer,embedding,2
16,119,2.262786626815796,1.9738839864730835,9.609830856323242,0.001,2.3351776599884033,0.6213210821151733,10.331295013427734,transformer,embedding,2
17,126,2.2438952922821045,3.5833587646484375,9.42999267578125,0.001,2.3732192516326904,0.654022216796875,10.731884956359863,transformer,embedding,2
18,133,2.2151589393615723,4.433647155761719,9.16286563873291,0.001,2.4118764400482178,0.5068672299385071,11.15487289428711,transformer,embedding,2
19,140,2.1790847778320312,5.253568172454834,8.838213920593262,0.001,2.453540563583374,0.5559188723564148,11.629448890686035,transformer,embedding,2
20,147,2.146749496459961,5.830549716949463,8.556998252868652,0.001,2.4577481746673584,0.5068672299385071,11.678483963012695,transformer,embedding,2
21,154,2.106356620788574,7.288187026977539,8.218244552612305,0.001,2.495225191116333,0.4251144230365753,12.124463081359863,transformer,embedding,2
22,161,2.0644803047180176,9.049498558044434,7.881200790405273,0.001,2.517289161682129,0.39241331815719604,12.394949913024902,transformer,embedding,2
23,168,2.019177198410034,11.327056884765625,7.532124996185303,0.001,2.540642261505127,0.5722694396972656,12.687817573547363,transformer,embedding,2
24,175,1.9826149940490723,11.873671531677246,7.261707305908203,0.001,2.5459253787994385,0.6867232918739319,12.755025863647461,transformer,embedding,2
25,182,1.9303157329559326,14.971151351928711,6.891685962677002,0.001,2.5526278018951416,0.6376716494560242,12.840802192687988,transformer,embedding,2
26,189,1.884974479675293,17.85605812072754,6.586186408996582,0.001,2.584804058074951,0.7684760689735413,13.260690689086914,transformer,embedding,2
27,196,1.8303442001342773,20.103248596191406,6.236032962799072,0.001,2.59269380569458,0.9646827578544617,13.365727424621582,transformer,embedding,2
28,203,1.7709075212478638,23.443668365478516,5.87618350982666,0.001,2.6172139644622803,0.915631115436554,13.697508811950684,transformer,embedding,2
29,210,1.7156283855438232,26.02490234375,5.560168266296387,0.001,2.6406872272491455,1.1281882524490356,14.02283763885498,transformer,embedding,2
30,217,1.6531254053115845,28.697237014770508,5.223278999328613,0.001,2.6490914821624756,1.422498345375061,14.141185760498047,transformer,embedding,2
31,224,1.5941903591156006,31.612510681152344,4.924340724945068,0.001,2.6545534133911133,1.2262916564941406,14.218634605407715,transformer,embedding,2
32,231,1.5242069959640503,34.436683654785156,4.591501235961914,0.001,2.6793372631073,1.847612738609314,14.575430870056152,transformer,embedding,2
33,238,1.451996088027954,37.95930862426758,4.271632671356201,0.001,2.6875808238983154,2.207324981689453,14.696080207824707,transformer,embedding,2
34,245,1.3729724884033203,41.7552375793457,3.947065830230713,0.001,2.704852342605591,2.4525833129882812,14.952108383178711,transformer,embedding,2
35,252,1.2995070219039917,45.85484313964844,3.6674883365631104,0.001,2.7128005027770996,2.665140390396118,15.07142448425293,transformer,embedding,2
36,259,1.220790147781372,49.22563171386719,3.3898651599884033,0.001,2.7379720211029053,2.9103987216949463,15.455609321594238,transformer,embedding,2
37,266,1.1390678882598877,53.84148406982422,3.1238551139831543,0.001,2.7398183345794678,3.499018907546997,15.484171867370605,transformer,embedding,2
38,273,1.0525349378585815,57.48557662963867,2.8649041652679443,0.001,2.7637553215026855,3.9895355701446533,15.859288215637207,transformer,embedding,2
39,280,0.9853556752204895,60.431217193603516,2.678764581680298,0.001,2.7754464149475098,4.398299217224121,16.045787811279297,transformer,embedding,2
40,287,0.9078326225280762,65.2596435546875,2.4789438247680664,0.001,2.7869608402252197,5.166775226593018,16.23161506652832,transformer,embedding,2
41,294,0.8256409764289856,69.93622589111328,2.28334379196167,0.001,2.8038880825042725,5.820797443389893,16.508708953857422,transformer,embedding,2
42,301,0.745232105255127,74.4002456665039,2.1069304943084717,0.001,2.814866781234741,6.360365867614746,16.69095230102539,transformer,embedding,2
