epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding,k_value
0,15,3.5338807106018066,0.013285505585372448,34.256649017333984,0.001,2.5255320072174072,0.0,12.497542381286621,transformer,embedding,2
1,30,2.389066696166992,0.5447057485580444,10.903312683105469,0.001,2.318417549133301,0.6907545328140259,10.159584999084473,transformer,embedding,2
2,45,2.3139781951904297,0.8104158639907837,10.114582061767578,0.001,2.305574893951416,0.7970244288444519,10.029942512512207,transformer,embedding,2
3,60,2.3063294887542725,0.9432709217071533,10.037513732910156,0.001,2.3038337230682373,0.42507970333099365,10.012494087219238,transformer,embedding,2
4,75,2.299802303314209,1.1026970148086548,9.972210884094238,0.001,2.301541328430176,0.8501594066619873,9.989567756652832,transformer,embedding,2
5,90,2.2980477809906006,0.8768433928489685,9.954730033874512,0.001,2.303147792816162,0.9032943844795227,10.00562858581543,transformer,embedding,2
6,105,2.2970073223114014,1.2089810371398926,9.944377899169922,0.001,2.303851842880249,0.7970244288444519,10.012675285339355,transformer,embedding,2
7,120,2.2949819564819336,1.0362694263458252,9.924257278442383,0.001,2.3056936264038086,0.5844845771789551,10.031133651733398,transformer,embedding,2
8,135,2.292290449142456,1.0362694263458252,9.897582054138184,0.001,2.314270257949829,0.47821465134620667,10.117536544799805,transformer,embedding,2
9,150,2.287733316421509,1.2754085063934326,9.852580070495605,0.001,2.3165736198425293,0.42507970333099365,10.140868186950684,transformer,embedding,2
10,165,2.2804958820343018,1.4215490818023682,9.781529426574707,0.001,2.3381590843200684,0.10626992583274841,10.362143516540527,transformer,embedding,2
11,180,2.266475200653076,1.8599708080291748,9.645342826843262,0.001,2.3639628887176514,0.37194472551345825,10.633005142211914,transformer,embedding,2
12,195,2.2471561431884766,2.285106897354126,9.460792541503906,0.001,2.3905158042907715,0.31880977749824524,10.919124603271484,transformer,embedding,2
13,210,2.219862461090088,2.8829548358917236,9.206064224243164,0.001,2.4403421878814697,0.31880977749824524,11.476967811584473,transformer,embedding,2
