epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,len_train_ds,len_val_ds,batches_per_epoch,time_per_epoch,fwd_time_in_epoch,val_loss,val_accuracy,val_perplexity,full_train_loss,full_train_acc,paramnorm_embedding.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_decoder.blocks.0.self_attn.Wo.weight,paramnorm_decoder.blocks.0.self_attn_norm.weight,paramnorm_decoder.blocks.0.self_attn_norm.bias,paramnorm_decoder.blocks.0.ffn.ffn.0.weight,paramnorm_decoder.blocks.0.ffn.ffn.2.weight,paramnorm_decoder.blocks.0.ffn_norm.weight,paramnorm_decoder.blocks.0.ffn_norm.bias,paramnorm_decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_decoder.blocks.1.self_attn.Wo.weight,paramnorm_decoder.blocks.1.self_attn_norm.weight,paramnorm_decoder.blocks.1.self_attn_norm.bias,paramnorm_decoder.blocks.1.ffn.ffn.0.weight,paramnorm_decoder.blocks.1.ffn.ffn.2.weight,paramnorm_decoder.blocks.1.ffn_norm.weight,paramnorm_decoder.blocks.1.ffn_norm.bias,paramnorm_decoder.blocks.2.self_attn.attn_heads.0.Wq.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.0.Wk.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.0.Wv.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.1.Wq.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.1.Wk.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.1.Wv.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.2.Wq.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.2.Wk.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.2.Wv.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.3.Wq.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.3.Wk.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.3.Wv.weight,paramnorm_decoder.blocks.2.self_attn.Wo.weight,paramnorm_decoder.blocks.2.self_attn_norm.weight,paramnorm_decoder.blocks.2.self_attn_norm.bias,paramnorm_decoder.blocks.2.ffn.ffn.0.weight,paramnorm_decoder.blocks.2.ffn.ffn.2.weight,paramnorm_decoder.blocks.2.ffn_norm.weight,paramnorm_decoder.blocks.2.ffn_norm.bias,paramnorm_linear.weight
0,10,4.265679359436035,0.0,71.2132797241211,0.001,4704,4705,10,0.493786096572876,0.312608003616333,3.112349271774292,0.0,22.473779678344727,3.1073765754699707,0.0,0.9990570020915924,0.05121951922774315,0.05143054202198982,0.05090288072824478,0.05103661119937897,0.05149798095226288,0.05155117064714432,0.05118181183934212,0.05095861107110977,0.05081385374069214,0.05030946433544159,0.051193028688430786,0.05089838430285454,0.05148440971970558,0.9995986605942082,0.0033638937497970666,0.05114750564098358,0.02562711387872696,0.9995368733142912,0.0034188199837576192,0.051039740443229675,0.05094972625374794,0.051851786673069,0.05124014616012573,0.050785962492227554,0.05126768350601196,0.050545960664749146,0.0516136959195137,0.050704509019851685,0.05184875801205635,0.05149751156568527,0.05097537860274315,0.05136983096599579,0.999609703068518,0.0034048944015918165,0.05143638327717781,0.02573605254292488,0.9994621048050328,0.0033281920763857994,0.051098983734846115,0.05117107555270195,0.05067768320441246,0.050949953496456146,0.05167244374752045,0.051357924938201904,0.0515298992395401,0.05103476345539093,0.05147109925746918,0.0510018914937973,0.05125520005822182,0.0507008396089077,0.05098544433712959,0.9993955970780827,0.003466080759645253,0.051138609647750854,0.025706822052598,1.0008259768228454,0.003672475193892117,0.05106417987562841
1,20,2.8629636764526367,0.0,17.51335334777832,0.001,4704,4705,10,0.17337274551391602,0.05056929588317871,2.486442804336548,0.0,12.018447875976562,2.4846389293670654,0.0,0.998836284649084,0.0514470599591732,0.05169214680790901,0.05117993429303169,0.051536597311496735,0.051896434277296066,0.051797594875097275,0.051640816032886505,0.05144790932536125,0.05117189511656761,0.05061427131295204,0.051467616111040115,0.05117175355553627,0.05178503319621086,0.9992255766911897,0.0062650019320543565,0.051596499979496,0.026358826085925102,0.9988626080318139,0.00628965125298815,0.05141656473278999,0.051375120878219604,0.052035070955753326,0.0515001118183136,0.05113060027360916,0.05152382701635361,0.05088363215327263,0.05200915038585663,0.05091569572687149,0.05227935314178467,0.051954519003629684,0.051235657185316086,0.05157056078314781,0.9991194509266393,0.006201564998144889,0.05183503031730652,0.02645467408001423,0.9987479686038643,0.006001048073631771,0.05142240971326828,0.051453642547130585,0.050863102078437805,0.05144964158535004,0.05208103731274605,0.05142156779766083,0.05183461681008339,0.0512869618833065,0.05157264694571495,0.051246680319309235,0.051465462893247604,0.05089758709073067,0.05116993561387062,0.9987332172068855,0.006322301231149425,0.05144903063774109,0.02639211341738701,1.0047224529676775,0.00876249246590834,0.051801091512793634
2,30,2.4295926094055176,0.6590136289596558,11.354255676269531,0.001,4704,4705,10,0.17412376403808594,0.051609039306640625,2.368194580078125,0.9989372491836548,10.678096771240234,2.3614232540130615,1.062925100326538,0.9987392736624954,0.0516245998442173,0.051865752786397934,0.05132637545466423,0.05206074193120003,0.05229167267680168,0.05199085548520088,0.052116017788648605,0.05192470923066139,0.051398228853940964,0.05083237960934639,0.051682185381650925,0.05130753666162491,0.05198321118950844,0.9991212210942767,0.007337243441407312,0.051949601620435715,0.026867536827921867,0.9985361385432485,0.007192608628208083,0.051739297807216644,0.051727037876844406,0.05211731791496277,0.051728587597608566,0.051352180540561676,0.05164904147386551,0.0513041652739048,0.05238981544971466,0.051059920340776443,0.052697665989398956,0.05240302160382271,0.05137866362929344,0.051651742309331894,0.9988768536666106,0.0070962543470671,0.052165694534778595,0.026947781443595886,0.9984177901926299,0.006883813815692447,0.05157185345888138,0.05161631852388382,0.050950609147548676,0.051719728857278824,0.052386362105607986,0.051473673433065414,0.0519678108394146,0.051396917551755905,0.05161529779434204,0.05142008513212204,0.05162125453352928,0.051006052643060684,0.051246531307697296,0.9984928958766763,0.007329251345258434,0.05171874165534973,0.02684863656759262,1.0102469775767886,0.013331723850660972,0.05277750992811159
3,40,2.3476860523223877,1.1267006397247314,10.461335182189941,0.001,4704,4705,10,0.1693108081817627,0.050485849380493164,2.3388071060180664,0.7863974571228027,10.368860244750977,2.325211763381958,1.1479591131210327,0.9986995794188822,0.05171527713537216,0.0519518181681633,0.05140316113829613,0.05232565477490425,0.0524844154715538,0.05207877233624458,0.052357111126184464,0.052148763090372086,0.051499370485544205,0.050934601575136185,0.05178869515657425,0.05137503147125244,0.05206959322094917,0.9990399619703477,0.007760947026576346,0.05212019383907318,0.027106964960694313,0.9983593746605939,0.007543963855185628,0.051911745220422745,0.05191097408533096,0.05214869603514671,0.051945846527814865,0.05152004957199097,0.05169688165187836,0.05146084353327751,0.052518997341394424,0.051116183400154114,0.052960339933633804,0.05268149822950363,0.05144156888127327,0.05168474093079567,0.9987373475980396,0.007483737325752576,0.05233825370669365,0.02718113176524639,0.9981985422866763,0.007295313254039544,0.05155162513256073,0.051570020616054535,0.05100537836551666,0.05186649411916733,0.052569612860679626,0.0515049546957016,0.05198564752936363,0.05144761875271797,0.05163225159049034,0.051514219492673874,0.05171322077512741,0.05106470733880997,0.051282476633787155,0.9983195880355995,0.007820466279207823,0.05186648666858673,0.027066612616181374,1.0150563544603666,0.016752051242797363,0.05363284454289141
4,50,2.3243417739868164,1.2542517185211182,10.219950675964355,0.001,4704,4705,10,0.16953253746032715,0.04970407485961914,2.3223745822906494,0.8289054036140442,10.19986629486084,2.3117237091064453,1.2755101919174194,0.9986853592832582,0.05180403217673302,0.0520319901406765,0.05144507437944412,0.052442196756601334,0.05256868898868561,0.05211588740348816,0.052474986761808395,0.05226142704486847,0.05154953896999359,0.0510052852332592,0.051854200661182404,0.05140690878033638,0.05210963636636734,0.9990188042523953,0.007940904191550243,0.05219825357198715,0.027213390916585922,0.9982911810597032,0.007683598998480251,0.05198251083493233,0.051986001431941986,0.05216067656874657,0.0520196296274662,0.05156709998846054,0.05170508474111557,0.05153902992606163,0.05258358642458916,0.051138292998075485,0.05308478698134422,0.052814289927482605,0.05147190019488335,0.05169852450489998,0.998685169799583,0.007641448198702309,0.05241459235548973,0.027282632887363434,0.9980907306481854,0.007439448890501722,0.051551103591918945,0.05157197266817093,0.05103931948542595,0.05192941799759865,0.05264705792069435,0.05151781812310219,0.05197761580348015,0.051426444202661514,0.05163786560297012,0.0515410453081131,0.051744528114795685,0.051095057278871536,0.05129246413707733,0.9982265277940875,0.007970524206430291,0.0519302673637867,0.027163246646523476,1.0186454114921604,0.019055653102611075,0.05427898286032147
5,60,2.313098907470703,1.2329931259155273,10.105692863464355,0.001,4704,4705,10,0.18642520904541016,0.05690169334411621,2.3155057430267334,0.8076514005661011,10.130044937133789,2.3052375316619873,1.084183692932129,0.9986823931199992,0.05186909809708595,0.052099935710430145,0.05147869139909744,0.05248967558145523,0.05260273441672325,0.052137184888124466,0.05251520499587059,0.05229957029223442,0.05156543478369713,0.05103478580713272,0.05188090354204178,0.05142565444111824,0.05213044211268425,0.9990281608527647,0.008020320049401404,0.052229199558496475,0.027259016409516335,0.9982755867257542,0.007773281565210862,0.052017249166965485,0.05202091857790947,0.05216464400291443,0.0520743653178215,0.05160987004637718,0.0517139732837677,0.05155399069190025,0.05259764939546585,0.05115218833088875,0.053138136863708496,0.052875615656375885,0.05148135498166084,0.05169742554426193,0.9986630005572663,0.007721961850248277,0.05244578421115875,0.027328604832291603,0.9980328208783315,0.00750654535624205,0.05157016962766647,0.05159345641732216,0.05104750767350197,0.05193915218114853,0.05266515165567398,0.051506634801626205,0.051999811083078384,0.05139857530593872,0.05163789913058281,0.051494475454092026,0.05173243209719658,0.051087744534015656,0.051284950226545334,0.9981872469312754,0.008091036534302112,0.05196348950266838,0.027216417714953423,1.0213703738357838,0.020759270866269924,0.054764130485866605
6,70,2.3071463108062744,1.1267006397247314,10.045716285705566,0.001,4704,4705,10,0.1947944164276123,0.061501264572143555,2.310831069946289,0.8076514005661011,10.08280086517334,2.3003828525543213,1.2329931259155273,0.9986847486025872,0.05193793401122093,0.052168697118759155,0.051503390073776245,0.05250690132379532,0.05261436849832535,0.05214126035571098,0.05252852663397789,0.05231243371963501,0.05156872794032097,0.051054179668426514,0.051907192915678024,0.05144965276122093,0.05213899537920952,0.9990148424486353,0.008045067493466887,0.05224176496267319,0.02727668732404709,0.9982457467570085,0.007793138657760065,0.05203760415315628,0.05204593390226364,0.052167922258377075,0.05207742378115654,0.05161053314805031,0.05172091722488403,0.051545046269893646,0.05259205400943756,0.05115480720996857,0.05315867438912392,0.05289941653609276,0.051477279514074326,0.05169975385069847,0.9986289459036695,0.007738154801155064,0.052458930760622025,0.027351120486855507,0.9979676618505335,0.007536031028042468,0.05155796557664871,0.05159461870789528,0.05103301629424095,0.051943689584732056,0.052672240883111954,0.051502492278814316,0.052016377449035645,0.05139484256505966,0.05163511633872986,0.051484379917383194,0.051743023097515106,0.0510982871055603,0.05127711594104767,0.9981302643920886,0.00812934011706442,0.0519762858748436,0.027241300791502,1.0235046902443754,0.022059896269535792,0.05515548955586365
7,80,2.305044651031494,1.1054421663284302,10.024625778198242,0.001,4704,4705,10,0.17049241065979004,0.053122520446777344,2.309232234954834,0.9351752996444702,10.066693305969238,2.2987213134765625,1.084183692932129,0.998690244728626,0.05201633274555206,0.05223874747753143,0.05153566226363182,0.05251208320260048,0.05261688679456711,0.052136294543743134,0.0525287464261055,0.052311886101961136,0.05157024785876274,0.05109080672264099,0.05194584280252457,0.05146961659193039,0.05214753374457359,0.9990283294401587,0.008059419812473862,0.05224534124135971,0.02728409692645073,0.9982483598616161,0.007795468588229308,0.052054453641176224,0.052070703357458115,0.0521678663790226,0.05207415297627449,0.05160658806562424,0.05171946808695793,0.0515141636133194,0.05257067084312439,0.05115104839205742,0.05317119136452675,0.05291636288166046,0.05147895589470863,0.051698628813028336,0.9986195893033001,0.007757689206895355,0.05246361345052719,0.027360761538147926,0.9979504659363412,0.007552166027032552,0.05154573917388916,0.05159768834710121,0.05103665217757225,0.05195054039359093,0.052678465843200684,0.05150430649518967,0.052020519971847534,0.05139164999127388,0.05163707584142685,0.05146282538771629,0.051725324243307114,0.05109299346804619,0.05127054825425148,0.9981134056526842,0.00814796375575017,0.05198131874203682,0.027255384251475334,1.025248642542059,0.023118655397176818,0.05548743266807874
8,90,2.3028464317321777,0.9991496801376343,10.00261402130127,0.001,4704,4705,10,0.1929607391357422,0.06301188468933105,2.306865930557251,0.9351752996444702,10.042900085449219,2.2977025508880615,1.1267006397247314,0.9986999283792657,0.05211063474416733,0.052325449883937836,0.05158501863479614,0.052514202892780304,0.052616897970438004,0.05213093012571335,0.052522532641887665,0.052301451563835144,0.051567718386650085,0.05114847049117088,0.05201606824994087,0.05150117352604866,0.05215431749820709,0.9990285823212498,0.00805175172022291,0.05224378779530525,0.027285294607281685,0.9982381603242765,0.007792108035605072,0.05208254233002663,0.05210672691464424,0.052169330418109894,0.052041053771972656,0.05157557502388954,0.05170920491218567,0.051500845700502396,0.05256715416908264,0.05115235969424248,0.05318243056535721,0.052931662648916245,0.05147601664066315,0.051693517714738846,0.9986070295424438,0.007778572311787996,0.05246618390083313,0.027366051450371742,0.9979067175075869,0.007554416932160838,0.051538385450839996,0.051597099751234055,0.05103050172328949,0.05193815752863884,0.05266787111759186,0.0514971986413002,0.05200669541954994,0.05137740448117256,0.05162658169865608,0.0514548122882843,0.05171151086688042,0.05107972025871277,0.05125531554222107,0.9980513654916762,0.008160350977945326,0.051987338811159134,0.02726421318948269,1.0266337565715211,0.02398137767859253,0.05578220059444842
9,100,2.3007736206054688,1.1054421663284302,9.981902122497559,0.001,4704,4705,10,0.1687462329864502,0.05018877983093262,2.305698871612549,0.8076514005661011,10.0311861038208,2.2944350242614746,1.2542517185211182,0.9987142357549855,0.05222663655877113,0.05243811011314392,0.05164075270295143,0.05251409113407135,0.052614592015743256,0.052123233675956726,0.052529893815517426,0.052306804805994034,0.05156737193465233,0.05123746767640114,0.05211899057030678,0.05154232308268547,0.05216766521334648,0.9990229346435493,0.008040086262808504,0.052241332828998566,0.02728530764579773,0.9982179298369913,0.007763032637033127,0.05211031809449196,0.05214323475956917,0.05217507481575012,0.052004095166921616,0.051541317254304886,0.05170701444149017,0.051480166614055634,0.052556633949279785,0.05115286260843277,0.05319305881857872,0.05294683575630188,0.05147424340248108,0.05169660970568657,0.9985772738673951,0.00775393352756633,0.05246557295322418,0.027371449396014214,0.9978720727981109,0.007567011595876007,0.051529958844184875,0.051593370735645294,0.05102197453379631,0.051918890327215195,0.05265149846673012,0.05148911848664284,0.051993969827890396,0.051370929926633835,0.051611337810754776,0.05147043615579605,0.05172372981905937,0.05107881501317024,0.051242344081401825,0.9980323994098463,0.008222003914782667,0.0519925020635128,0.027274401858448982,1.027921932849408,0.024773841163540585,0.056065376493081624
