epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,len_train_ds,len_val_ds,batches_per_epoch,time_per_epoch,fwd_time_in_epoch,val_loss,val_accuracy,val_perplexity,full_train_loss,full_train_acc,paramnorm_embedding.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_decoder.blocks.0.self_attn.Wo.weight,paramnorm_decoder.blocks.0.self_attn_norm.weight,paramnorm_decoder.blocks.0.self_attn_norm.bias,paramnorm_decoder.blocks.0.ffn.ffn.0.weight,paramnorm_decoder.blocks.0.ffn.ffn.2.weight,paramnorm_decoder.blocks.0.ffn_norm.weight,paramnorm_decoder.blocks.0.ffn_norm.bias,paramnorm_decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_decoder.blocks.1.self_attn.Wo.weight,paramnorm_decoder.blocks.1.self_attn_norm.weight,paramnorm_decoder.blocks.1.self_attn_norm.bias,paramnorm_decoder.blocks.1.ffn.ffn.0.weight,paramnorm_decoder.blocks.1.ffn.ffn.2.weight,paramnorm_decoder.blocks.1.ffn_norm.weight,paramnorm_decoder.blocks.1.ffn_norm.bias,paramnorm_linear.weight
0,6,5.478970050811768,0.10626992583274841,239.5998077392578,0.0006,2823,6586,6,0.46804094314575195,0.3301067352294922,4.073298454284668,0.0,58.75042724609375,4.062099933624268,0.0,0.9965806047307061,0.05159648135304451,0.05116504430770874,0.05118501931428909,0.050993166863918304,0.05083402246236801,0.05142316222190857,0.051382385194301605,0.050675105303525925,0.05120116099715233,0.05109627917408943,0.05050107464194298,0.05095287784934044,0.05095373094081879,0.999958004624612,0.0014476770748093957,0.05093703791499138,0.0255243219435215,1.0000122897654942,0.0014646805293693824,0.050699684768915176,0.05033661052584648,0.05103445053100586,0.051003098487854004,0.0517381951212883,0.051027972251176834,0.05105723813176155,0.05065348371863365,0.05081595480442047,0.05005693435668945,0.051385968923568726,0.05092712119221687,0.0513453334569931,0.9998984932745146,0.0014609492161871524,0.051022663712501526,0.025581691414117813,0.9997517379479998,0.0014796912282482135,0.05097739779027853
1,12,3.505054235458374,0.0,33.28324890136719,0.001,2823,6586,6,0.13214993476867676,0.017092466354370117,3.1109917163848877,0.0,22.44329071044922,3.0984086990356445,0.0,0.9964710311703145,0.051774535328149796,0.05143604800105095,0.05140787735581398,0.05116455256938934,0.05100809037685394,0.05175740644335747,0.051554124802351,0.050882305949926376,0.05137366056442261,0.051280755549669266,0.05069039389491081,0.05110299959778786,0.051187582314014435,0.9996375199885352,0.004941303763406804,0.051170092076063156,0.025981223210692406,0.9997311702859264,0.004981854300030348,0.05090035870671272,0.050492316484451294,0.05124589428305626,0.05116518586874008,0.051870424300432205,0.051181767135858536,0.051225513219833374,0.05081571266055107,0.05107206106185913,0.050296083092689514,0.05159536749124527,0.051115185022354126,0.0515291802585125,0.9993064143466336,0.004960067342800501,0.05124414712190628,0.026010803878307343,1.0005427500008521,0.005378496645005101,0.05101265369401517
2,18,2.906649589538574,0.0,18.295398712158203,0.001,2823,6586,6,0.14209794998168945,0.022568941116333008,2.6968495845794678,0.0,14.832927703857422,2.6805074214935303,0.0,0.9963612831297314,0.05194573476910591,0.051625799387693405,0.051589105278253555,0.051483605057001114,0.0512840673327446,0.052015434950590134,0.05193217098712921,0.05133654922246933,0.051573529839515686,0.05170373618602753,0.0510919950902462,0.0513223372399807,0.05140506103634834,0.9993865776525014,0.007025663644167416,0.05148613825440407,0.026594702154397964,0.9994524110298754,0.006944793061498122,0.05122976750135422,0.05076910927891731,0.05146230757236481,0.05143215134739876,0.05209716781973839,0.05142686888575554,0.0515533871948719,0.05115285888314247,0.05127435550093651,0.05061827227473259,0.051893431693315506,0.05126560106873512,0.05171677842736244,0.9988534200188386,0.006935009724287531,0.05151661857962608,0.026562849059700966,1.0016763316384012,0.007744706001920476,0.05133498403816845
3,24,2.561108350753784,0.0,12.950162887573242,0.001,2823,6586,6,0.13275718688964844,0.022370100021362305,2.4539942741394043,0.0,11.634726524353027,2.4364776611328125,0.0,0.9962827670434635,0.0521555170416832,0.05176817625761032,0.051710616797208786,0.051806557923555374,0.05155457928776741,0.05214710161089897,0.052434395998716354,0.05198315903544426,0.05179425701498985,0.052006796002388,0.05138742923736572,0.05152379348874092,0.05157630890607834,0.9992006257568713,0.00817374379760417,0.051793839782476425,0.027117878198623657,0.9992816319997092,0.007815527853942461,0.0515877865254879,0.05109110102057457,0.05155086889863014,0.05164660885930061,0.05228320136666298,0.05145922675728798,0.05186660960316658,0.051474679261446,0.05138296261429787,0.05093265697360039,0.05218587443232536,0.0513642355799675,0.051776234060525894,0.9985621010019312,0.007799803128180851,0.05177674442529678,0.027021190151572227,1.0045405471695046,0.010346802379600466,0.05181321243361123
4,30,2.410449266433716,0.21253985166549683,11.138964653015137,0.001,2823,6586,6,0.12179350852966309,0.022476673126220703,2.387542486190796,0.956574559211731,10.886706352233887,2.371955394744873,1.1689691543579102,0.9962277185429802,0.052360303699970245,0.05189492553472519,0.0518023706972599,0.05205415561795235,0.05176926031708717,0.05224718898534775,0.05287213250994682,0.052511777728796005,0.05198131129145622,0.052243780344724655,0.051612790673971176,0.05168040841817856,0.05171423405408859,0.9990939942301387,0.008877160211271815,0.05203886330127716,0.02749534696340561,0.9991882345834091,0.008319090497416528,0.05189460143446922,0.05135305970907211,0.05161348730325699,0.05180581286549568,0.05241890251636505,0.051481299102306366,0.05208135023713112,0.051699478179216385,0.05147033929824829,0.05119166523218155,0.05241343751549721,0.05144033953547478,0.05182362720370293,0.9984030387956512,0.008362486604859064,0.05199999734759331,0.027345450595021248,1.0077797853586579,0.012820090085697068,0.05232868689747729
5,36,2.3593618869781494,1.1335458755493164,10.584195137023926,0.001,2823,6586,6,0.14307546615600586,0.02226114273071289,2.353484630584717,0.9413908123970032,10.522171974182129,2.3383708000183105,1.0981225967407227,0.9961945673065561,0.05250653624534607,0.05197947099804878,0.0518546998500824,0.05222815275192261,0.05191584676504135,0.052317485213279724,0.05317845940589905,0.052862498909235,0.0520978681743145,0.0524151585996151,0.05177047476172447,0.051798202097415924,0.05180186405777931,0.9990285823212498,0.009274499625608269,0.05219976231455803,0.027732009068131447,0.9991208839194887,0.008628009774844174,0.05210771784186363,0.05153101310133934,0.05166609212756157,0.05190705880522728,0.05249856039881706,0.051504768431186676,0.05220567807555199,0.051832787692546844,0.05151740089058876,0.051388051360845566,0.052570097148418427,0.05148698017001152,0.05185995250940323,0.9983008748348607,0.008731096356490263,0.0521521270275116,0.027543790638446808,1.0108955332816743,0.014966742350012276,0.052822700297763495
6,42,2.3333191871643066,1.0272759199142456,10.312112808227539,0.001,2823,6586,6,0.13149547576904297,0.02222895622253418,2.3343849182128906,0.8806559443473816,10.323108673095703,2.320484161376953,1.0981225967407227,0.9961761596463311,0.052578553557395935,0.05201936140656471,0.051877107471227646,0.05234413594007492,0.05201180651783943,0.05236584693193436,0.053383585065603256,0.053090184926986694,0.05216675251722336,0.05253099277615547,0.05187390744686127,0.05188939347863197,0.05185386538505554,0.9989823050815848,0.009480763668042552,0.05230484902858734,0.027877753600478172,0.9990805915323122,0.008795762134451627,0.05222775414586067,0.05163298547267914,0.05170123651623726,0.05197548866271973,0.0525553934276104,0.051521096378564835,0.052296191453933716,0.05193648859858513,0.05154350772500038,0.05153479799628258,0.05268830433487892,0.05152079463005066,0.05188475176692009,0.9982492870922833,0.008938389703990525,0.05225043743848801,0.02766590379178524,1.0136762980527259,0.016716304129815045,0.05326327913933967
7,48,2.3188889026641846,1.6648955345153809,10.164374351501465,0.001,2823,6586,6,0.14224791526794434,0.022413253784179688,2.325793981552124,0.8502885103225708,10.234803199768066,2.31046462059021,1.5232023000717163,0.9961663015154997,0.0526285395026207,0.052053697407245636,0.05189715698361397,0.0524098239839077,0.05206780508160591,0.05239010602235794,0.05350569263100624,0.05322832986712456,0.05221152678132057,0.05259217694401741,0.051930200308561325,0.05192975699901581,0.05188221111893654,0.9989501048893226,0.009602732696366032,0.052367180585861206,0.027964860200881958,0.999052521731204,0.008897338673540913,0.052271489053964615,0.05167507752776146,0.051716599613428116,0.05199986323714256,0.05258319154381752,0.051529452204704285,0.05236007645726204,0.0520128533244133,0.05156059190630913,0.05161304399371147,0.052752431482076645,0.051541998982429504,0.051899928599596024,0.998220964410084,0.009092056455116737,0.05231466144323349,0.027743302285671234,1.016090385241733,0.018137443178041755,0.05364277355630069
8,54,2.310368299484253,1.346085786819458,10.07813549041748,0.001,2823,6586,6,0.15151238441467285,0.028876781463623047,2.319932222366333,0.9110233783721924,10.1749849319458,2.3037142753601074,1.3106623888015747,0.9961620267508029,0.052657656371593475,0.05208118259906769,0.05191146954894066,0.0524493083357811,0.05210169032216072,0.05240568146109581,0.05357314646244049,0.05331040918827057,0.05224315822124481,0.052624572068452835,0.051961902529001236,0.05195237323641777,0.05190061405301094,0.9989356063734348,0.009664776150096607,0.05240308493375778,0.02801620587706566,0.9990413106695001,0.008974335697414253,0.05227706581354141,0.05168735980987549,0.05173208564519882,0.05201614275574684,0.05260702967643738,0.05153292417526245,0.05240849405527115,0.05208192765712738,0.05158037692308426,0.05164552479982376,0.05277685075998306,0.051551561802625656,0.05191229656338692,0.9982147266765045,0.009193744288227872,0.05235312506556511,0.027789458632469177,1.0181310513529334,0.019273670847423832,0.05396429692956733
9,60,2.3048174381256104,1.2398158311843872,10.022348403930664,0.001,2823,6586,6,0.15216946601867676,0.03002786636352539,2.316397190093994,0.835104763507843,10.139079093933105,2.2994112968444824,1.4169323444366455,0.996161939510707,0.05267934501171112,0.05211268365383148,0.05193164572119713,0.05247409641742706,0.05212388187646866,0.052414268255233765,0.053639285266399384,0.05338975787162781,0.05227428674697876,0.05264263227581978,0.05198069289326668,0.051966018974781036,0.05191171169281006,0.998932403212948,0.009707783716279434,0.0524241179227829,0.028046224266290665,0.9990421536064703,0.009018977112521386,0.05227360501885414,0.05169209465384483,0.051740482449531555,0.052032824605703354,0.052620381116867065,0.05153572931885719,0.05245264247059822,0.05214189365506172,0.05159374698996544,0.051674339920282364,0.05280490592122078,0.051567770540714264,0.051921017467975616,0.9982197842983258,0.009248665583104615,0.05237806588411331,0.027818255126476288,1.0198715476090392,0.020198759927923544,0.05423966483962167
