epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding
0,13,5.453125953674316,0.6832675337791443,233.4868927001953,0.001,5.341395378112793,1.0626991987228394,208.80386352539062,mlp,onehot
1,26,5.037030220031738,1.0173094272613525,154.01194763183594,0.001,4.7609543800354,1.0626991987228394,116.8573989868164,mlp,onehot
2,39,4.654799461364746,0.81992107629776,105.08814239501953,0.001,4.638600826263428,0.779312789440155,103.39957427978516,mlp,onehot
3,52,4.604249000549316,1.1539629697799683,99.90792083740234,0.001,4.619795322418213,0.9210060238838196,101.47325897216797,mlp,onehot
4,65,4.581214904785156,1.3665350675582886,97.6329345703125,0.001,4.619238376617432,0.3896563947200775,101.41676330566406,mlp,onehot
5,78,4.576451301574707,1.2146978378295898,97.16896057128906,0.001,4.626091957092285,0.24796316027641296,102.11421966552734,mlp,onehot
6,91,4.568111419677734,1.4728211164474487,96.36195373535156,0.001,4.634247303009033,0.3542330861091614,102.95040130615234,mlp,onehot
7,104,4.559431552886963,1.1691466569900513,95.52915954589844,0.001,4.64944314956665,0.2833864688873291,104.52676391601562,mlp,onehot
8,117,4.550096035003662,1.7157607078552246,94.64149475097656,0.001,4.660593032836914,0.42507970333099365,105.69874572753906,mlp,onehot
9,130,4.539715766906738,1.655025839805603,93.66417694091797,0.001,4.673296928405762,0.03542330861091614,107.05009460449219,mlp,onehot
10,143,4.530767917633057,2.1409049034118652,92.82981872558594,0.001,4.692840576171875,0.03542330861091614,109.16282653808594,mlp,onehot
11,156,4.515908241271973,2.4293956756591797,91.4605941772461,0.001,4.717364311218262,0.07084661722183228,111.87300109863281,mlp,onehot
12,169,4.503302574157715,2.520498037338257,90.31491088867188,0.001,4.737475872039795,0.03542330861091614,114.14572143554688,mlp,onehot
13,182,4.483153820037842,2.8241724967956543,88.51338958740234,0.001,4.76890754699707,0.03542330861091614,117.79048919677734,mlp,onehot
14,195,4.464041709899902,3.431521415710449,86.83777618408203,0.001,4.800048828125,0.0,121.51634979248047,mlp,onehot
15,208,4.442190647125244,4.023686408996582,84.96085357666016,0.001,4.844755172729492,0.03542330861091614,127.0721664428711,mlp,onehot
16,221,4.418481826782227,4.023686408996582,82.97023010253906,0.001,4.875225067138672,0.0,131.00363159179688,mlp,onehot
17,234,4.389535427093506,4.585484504699707,80.60296630859375,0.001,4.927753925323486,0.0,138.0690460205078,mlp,onehot
18,247,4.362589359283447,4.9347100257873535,78.46002960205078,0.001,4.970639705657959,0.0,144.11904907226562,mlp,onehot
