epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding
0,7,5.320961952209473,0.0,204.58058166503906,0.0007,3.5850772857666016,0.0,36.05614471435547,transformer,embedding
1,14,3.222507953643799,0.0,25.09096908569336,0.001,2.8794000148773193,0.0,17.8035888671875,transformer,embedding
2,21,2.729583263397217,0.0,15.326498985290527,0.001,2.504214286804199,0.0,12.233942985534668,transformer,embedding
3,28,2.435919761657715,0.4251442551612854,11.426322937011719,0.001,2.396949529647827,0.8992805480957031,10.989602088928223,transformer,embedding
4,35,2.3665919303894043,1.275432825088501,10.660996437072754,0.001,2.353076457977295,0.7194244265556335,10.517877578735352,transformer,embedding
5,42,2.3338544368743896,1.305800199508667,10.317633628845215,0.001,2.331977605819702,0.8992805480957031,10.298287391662598,transformer,embedding
6,49,2.3175787925720215,1.2754327058792114,10.151066780090332,0.001,2.321755886077881,0.915631115436554,10.193557739257812,transformer,embedding
7,56,2.309464693069458,1.0932281017303467,10.0690336227417,0.001,2.3161232471466064,0.8502288460731506,10.13630199432373,transformer,embedding
8,63,2.303173780441284,1.2450653314590454,10.005888938903809,0.001,2.3138928413391113,0.8338783383369446,10.11371898651123,transformer,embedding
9,70,2.3007009029388428,1.2450653314590454,9.981175422668457,0.001,2.311624526977539,0.915631115436554,10.090804100036621,transformer,embedding
10,77,2.2978463172912598,1.275432825088501,9.95272445678711,0.001,2.3099210262298584,0.7194244265556335,10.073629379272461,transformer,embedding
11,84,2.295893669128418,1.4272699356079102,9.933309555053711,0.001,2.3105649948120117,0.9973838925361633,10.080118179321289,transformer,embedding
12,91,2.292705535888672,1.4880048036575317,9.901690483093262,0.001,2.309948205947876,0.7521255612373352,10.07390308380127,transformer,embedding
13,98,2.2907025814056396,1.4272699356079102,9.881877899169922,0.001,2.3106439113616943,0.9483321905136108,10.080913543701172,transformer,embedding
14,105,2.2876977920532227,1.2450653314590454,9.852230072021484,0.001,2.3125486373901367,0.8338783383369446,10.100133895874023,transformer,embedding
15,112,2.2815253734588623,1.7916793823242188,9.791604995727539,0.001,2.3165104389190674,0.7521255612373352,10.140227317810059,transformer,embedding
16,119,2.2736401557922363,2.8241724967956543,9.714699745178223,0.001,2.323451042175293,0.5068672299385071,10.210851669311523,transformer,embedding
17,126,2.2580137252807617,2.733070135116577,9.56407356262207,0.001,2.33303165435791,0.49051666259765625,10.309147834777832,transformer,embedding
18,133,2.238156795501709,3.279684066772461,9.376033782958984,0.001,2.364189863204956,0.6376716494560242,10.635418891906738,transformer,embedding
19,140,2.208956718444824,4.433647155761719,9.106210708618164,0.001,2.40705943107605,0.34336164593696594,11.101268768310547,transformer,embedding
20,147,2.172437906265259,4.980261325836182,8.779662132263184,0.001,2.4444777965545654,0.5068672299385071,11.524529457092285,transformer,embedding
21,154,2.127211093902588,6.802308082580566,8.391430854797363,0.001,2.470595598220825,0.457815557718277,11.829490661621094,transformer,embedding
