epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding,k_value
0,13,4.170102119445801,0.0,64.72206115722656,0.001,2.865283727645874,0.0,17.554033279418945,transformer,embedding,2
1,26,2.5713846683502197,0.1973884105682373,13.083929061889648,0.001,2.392918825149536,0.9210060238838196,10.945395469665527,transformer,embedding,2
2,39,2.3553004264831543,0.9869419932365417,10.541295051574707,0.001,2.334813117980957,0.6376195549964905,10.327529907226562,transformer,embedding,2
3,52,2.3201401233673096,0.7743698954582214,10.17710018157959,0.001,2.3173465728759766,0.5667729377746582,10.148709297180176,transformer,embedding,2
4,65,2.310086727142334,1.2298815250396729,10.075298309326172,0.001,2.310427188873291,0.602196216583252,10.078729629516602,transformer,embedding,2
5,78,2.305736780166626,0.9110233783721924,10.031566619873047,0.001,2.3088247776031494,0.7084661722183228,10.062591552734375,transformer,embedding,2
6,91,2.3032281398773193,0.8958396315574646,10.00643253326416,0.001,2.305706024169922,0.8501594066619873,10.031257629394531,transformer,embedding,2
7,104,2.300360918045044,1.1084117889404297,9.977783203125,0.001,2.3079140186309814,0.6376195549964905,10.053431510925293,transformer,embedding,2
8,117,2.2979636192321777,0.956574559211731,9.95389175415039,0.001,2.305671215057373,0.5667729377746582,10.030908584594727,transformer,embedding,2
9,130,2.2972466945648193,1.1235954761505127,9.946758270263672,0.001,2.306541681289673,0.6730428338050842,10.039644241333008,transformer,embedding,2
10,143,2.2947516441345215,1.0173094272613525,9.921971321105957,0.001,2.3064441680908203,0.602196216583252,10.038665771484375,transformer,embedding,2
11,156,2.291827917098999,1.1995141506195068,9.893004417419434,0.001,2.3116049766540527,0.4605030119419098,10.090606689453125,transformer,embedding,2
12,169,2.2878713607788086,1.4272699356079102,9.8539400100708,0.001,2.318425178527832,0.6376195549964905,10.159662246704102,transformer,embedding,2
13,182,2.279498338699341,2.110537528991699,9.771777153015137,0.001,2.341674327850342,0.3896563947200775,10.398633003234863,transformer,embedding,2
14,195,2.263108015060425,2.2471909523010254,9.612919807434082,0.001,2.372082471847534,0.31880977749824524,10.71969223022461,transformer,embedding,2
15,208,2.23923397064209,2.53568172454834,9.386138916015625,0.001,2.4106297492980957,0.24796316027641296,11.140974998474121,transformer,embedding,2
16,221,2.2094218730926514,3.6440935134887695,9.110447883605957,0.001,2.4314072132110596,0.24796316027641296,11.3748779296875,transformer,embedding,2
17,234,2.1709680557250977,4.9347100257873535,8.766766548156738,0.001,2.471055507659912,0.31880977749824524,11.834932327270508,transformer,embedding,2
18,247,2.1217546463012695,6.422714710235596,8.345768928527832,0.001,2.4835009574890137,0.42507970333099365,11.98314380645752,transformer,embedding,2
19,260,2.065415382385254,9.262070655822754,7.888574123382568,0.001,2.4818708896636963,0.4605030119419098,11.96362590789795,transformer,embedding,2
20,273,2.002189874649048,11.797752380371094,7.40525484085083,0.001,2.48608660697937,0.602196216583252,12.014167785644531,transformer,embedding,2
21,286,1.930355191230774,15.517765045166016,6.891957759857178,0.001,2.477468729019165,1.0981225967407227,11.911075592041016,transformer,embedding,2
22,299,1.8470922708511353,18.827816009521484,6.341353893280029,0.001,2.46770977973938,1.1335458755493164,11.795401573181152,transformer,embedding,2
23,312,1.759415864944458,23.215911865234375,5.809042930603027,0.001,2.4478001594543457,1.55862557888031,11.562882423400879,transformer,embedding,2
24,325,1.6521191596984863,29.07682991027832,5.218026161193848,0.001,2.4070701599121094,2.054551839828491,11.101387977600098,transformer,embedding,2
25,338,1.5341185331344604,35.51472854614258,4.63723611831665,0.001,2.3677666187286377,3.1880977153778076,10.673527717590332,transformer,embedding,2
26,351,1.4079951047897339,42.438507080078125,4.087751865386963,0.001,2.3066442012786865,4.427913665771484,10.04067325592041,transformer,embedding,2
27,364,1.2750946283340454,48.770118713378906,3.579040050506592,0.001,2.241859197616577,6.588735103607178,9.410811424255371,transformer,embedding,2
28,377,1.1238266229629517,56.95414352416992,3.0766046047210693,0.001,2.1551332473754883,9.103790283203125,8.629039764404297,transformer,embedding,2
29,390,0.9882688522338867,62.951717376708984,2.686579465866089,0.001,2.0701804161071777,12.221041679382324,7.926252841949463,transformer,embedding,2
30,403,0.8528417348861694,68.46340942382812,2.3463048934936523,0.001,1.9802064895629883,15.975912094116211,7.24423885345459,transformer,embedding,2
31,416,0.7331298589706421,73.44366455078125,2.08158540725708,0.001,1.8794370889663696,21.749910354614258,6.549817085266113,transformer,embedding,2
32,429,0.6144508719444275,79.13756561279297,1.8486411571502686,0.001,1.769061803817749,28.161529541015625,5.865347862243652,transformer,embedding,2
33,442,0.5011149048805237,83.84452056884766,1.6505604982376099,0.001,1.679055094718933,33.82925796508789,5.360488414764404,transformer,embedding,2
34,455,0.4100879430770874,88.14151000976562,1.5069502592086792,0.001,1.5855363607406616,39.815799713134766,4.881909370422363,transformer,embedding,2
