epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding,k_value,total_param_l2_norm
0,4,4.5547051429748535,0.05313495546579361,95.07872009277344,0.0004,3.9198737144470215,0.0,50.394081115722656,transformer,embedding,2,295.5697527253069
1,8,3.442765474319458,0.0,31.273324966430664,0.0008,2.9321329593658447,0.0,18.76761817932129,transformer,embedding,2,295.1527181006968
2,12,2.8591461181640625,0.0,17.446622848510742,0.001,2.6687347888946533,0.0,14.421710968017578,transformer,embedding,2,294.5421711988747
3,16,2.6009111404418945,0.0,13.476011276245117,0.001,2.548164129257202,0.0,12.783613204956055,transformer,embedding,2,293.91916213184595
4,20,2.461211919784546,0.0,11.719005584716797,0.001,2.404855728149414,0.0,11.076831817626953,transformer,embedding,2,293.25440457463264
5,24,2.3546979427337646,0.5313495993614197,10.53494644165039,0.001,2.3668625354766846,0.8502723574638367,10.6638822555542,transformer,embedding,2,292.56499230116606
6,28,2.3254828453063965,1.6471837759017944,10.231618881225586,0.001,2.3461835384368896,0.9299854040145874,10.44562816619873,transformer,embedding,2,291.8095593303442
7,32,2.3094735145568848,1.487778902053833,10.069122314453125,0.001,2.331519603729248,0.9034143686294556,10.293571472167969,transformer,embedding,2,290.97841276973486
8,36,2.3000102043151855,1.9659935235977173,9.974284172058105,0.001,2.3235156536102295,0.8369868397712708,10.211511611938477,transformer,embedding,2,290.0799933820963
9,40,2.294633388519287,1.9128586053848267,9.920798301696777,0.001,2.3202569484710693,0.8237013220787048,10.178289413452148,transformer,embedding,2,289.1271536052227
10,44,2.290783643722534,1.6471837759017944,9.882678985595703,0.001,2.3185484409332275,0.7705593109130859,10.160914421081543,transformer,embedding,2,288.13704527169466
11,48,2.2872791290283203,1.9659936428070068,9.848105430603027,0.001,NaN,NaN,NaN,transformer,embedding,2,287.1233046874404
12,52,2.2846879959106445,1.859723687171936,9.82262134552002,0.001,2.3176164627075195,0.8502723574638367,10.151449203491211,transformer,embedding,2,286.1023259535432
13,56,2.281782865524292,1.859723687171936,9.794126510620117,0.001,NaN,NaN,NaN,transformer,embedding,2,285.0840930342674
14,60,2.2783234119415283,2.1253983974456787,9.760302543640137,0.001,2.315891742706299,0.7838448286056519,10.133955955505371,transformer,embedding,2,284.07767563313246
15,64,2.2750816345214844,2.656748056411743,9.728713035583496,0.001,NaN,NaN,NaN,transformer,embedding,2,283.091068841517
